Date,Agroalimentaire - S&P 500 Consumer Staples,Automobile - S&P 500 Automobiles & Components,Énergie & Utilities - S&P 500 Utilities,Industries Manufacturières - S&P 500 Industrials,Technologies & Médias - NASDAQ Composite,Technologies & Médias - S&P 500 Information Technology,Santé - S&P 500 Health Care,Santé - NASDAQ Biotechnology,Transport - Dow Jones Transportation Average,Distribution & Consommation - S&P 500 Consumer Discretionary,Construction & Matériaux - S&P 500 Materials
2025-03-07 14:30:00,904.8900146484375,1637.800048828125,390.80999755859375,1134.280029296875,18196.220703125,4261.7099609375,1737.300048828125,4506.3701171875,15610.419921875,1637.800048828125,551.5900268554688
2025-03-10 13:30:00,898.6699829101562,1573.9100341796875,394.8699951171875,1116.0899658203125,17468.3203125,4076.800048828125,1718.260009765625,4483.22021484375,15254.48046875,1573.9100341796875,539.9199829101562
2025-03-11 13:30:00,888.0499877929688,1569.8199462890625,391.260009765625,1098.9000244140625,17436.099609375,4061.169921875,1698.9300537109375,4438.41015625,14780.1904296875,1569.8199462890625,535.5399780273438
2025-03-12 13:30:00,870.0800170898438,1585.7900390625,389.82000732421875,1098.93994140625,17648.44921875,4124.5498046875,1681.6500244140625,4453.91015625,14673.150390625,1585.7900390625,533.1300048828125
2025-03-13 13:30:00,863.9299926757812,1544.9000244140625,390.8699951171875,1087.3499755859375,17303.009765625,4051.239990234375,1673.1199951171875,4420.8701171875,14397.6796875,1544.9000244140625,532.4099731445312
2025-03-14 13:30:00,866.3699951171875,1578.010009765625,398.2699890136719,1107.3800048828125,17754.08984375,4174.1201171875,1685.8199462890625,4445.72998046875,14643.5302734375,1578.010009765625,539.4099731445312
2025-03-17 13:30:00,879.7999877929688,1571.1099853515625,399.8599853515625,1122.31005859375,17808.66015625,4181.66015625,1704.9599609375,4509.97021484375,14757.849609375,1571.1099853515625,545.5599975585938
2025-03-18 13:30:00,868.3900146484375,1541.3299560546875,397.239990234375,1113.6400146484375,17504.119140625,4112.830078125,1706.97998046875,4440.18994140625,14619.599609375,1541.3299560546875,545.0499877929688
2025-03-19 13:30:00,869.4400024414062,1570.5999755859375,398.4100036621094,1128.030029296875,17750.7890625,4171.14013671875,1707.239990234375,4465.31005859375,14691.919921875,1570.5999755859375,546.8800048828125
2025-03-20 13:30:00,864.9099731445312,1567.5899658203125,400.05999755859375,1122.8599853515625,17691.630859375,4150.5400390625,1709.1600341796875,4431.10009765625,14637.849609375,1567.5899658203125,543.489990234375
2025-03-21 13:30:00,864.1500244140625,1577.4599609375,397.42999267578125,1116.780029296875,17784.05078125,4171.0498046875,1703.969970703125,4444.25,14608.58984375,1577.4599609375,538.0599975585938
2025-03-24 13:30:00,869.8300170898438,1641.6199951171875,397.3900146484375,1137.6700439453125,18188.58984375,4242.4501953125,1716.989990234375,4499.72021484375,14926.080078125,1641.6199951171875,544.75
2025-03-25 13:30:00,861.4500122070312,1657.6600341796875,390.989990234375,1138.8599853515625,18271.859375,4254.68994140625,1694.7900390625,4418.60009765625,14806.6298828125,1657.6600341796875,544.9099731445312
2025-03-26 13:30:00,873.719970703125,1630.06005859375,393.739990234375,1131.4300537109375,17899.01953125,4149.919921875,1688.5999755859375,4348.919921875,14891.98046875,1630.06005859375,545.8900146484375
2025-03-27 13:30:00,882.47998046875,1631.56005859375,393.6000061035156,1125.6099853515625,17804.029296875,4118.83984375,1691.739990234375,4367.14990234375,14883.919921875,1631.56005859375,545.72998046875
2025-03-28 13:30:00,878.3900146484375,1578.239990234375,396.5899963378906,1102.68994140625,17322.990234375,4018.800048828125,1687.06005859375,4328.77978515625,14592.6103515625,1578.239990234375,536.260009765625
